#Data File Name,Prokaryote Total RNA Nano_2021-02-25_15-58-04.xad
#Data File Path,C:\Users\cremerlab\Desktop
#Date Created,"Thursday, February 25, 2021 11:58:03 PM"
#Date Last Modified,"Friday, February 26, 2021 12:13:24 AM"
#Version Created,B.02.11.SI811
#Version Last Modified,B.02.11.SI811
# 
#Assay Name,Prokaryote Total RNA Nano Series II
#Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
#Assay Title,Prokaryote Total RNA Nano
#Assay Version,2.5
# 
#Number of Samples Run,4
# 
#Sample Name,Ladder
#Number of Events,1060
# 
Time,Value
34.45,0.3636641
34.5,0.358949
34.55,0.340486
34.6,0.3378754
34.65,0.3565547
34.7,0.3644795
34.75,0.3617109
34.8,0.3619933
34.85,0.3733112
34.9,0.3791091
34.95,0.3847855
35,0.4082822
35.05,0.4161513
35.1,0.3999805
35.15,0.3882644
35.2,0.3635105
35.25,0.341746
35.3,0.3329168
35.35,0.3404379
35.4,0.3601804
35.45,0.3745321
35.5,0.3841025
35.55,0.3969906
35.6,0.4040332
35.65,0.4413412
35.7,0.4432327
35.75,0.4519375
35.8,0.466394
35.85,0.4476912
35.9,0.4426571
35.95,0.4450635
36,0.4434013
36.05,0.4398587
36.1,0.4403376
36.15,0.4298692
36.2,0.4054617
36.25,0.3857021
36.3,0.3916967
36.35,0.3872777
36.4,0.4120634
36.45,0.4301323
36.5,0.4132795
36.55,0.4107625
36.6,0.4444233
36.65,0.4588769
36.7,0.4922222
36.75,0.5110105
36.8,0.5049251
36.85,0.4877409
36.9,0.4911616
36.95,0.500644
37,0.5047078
37.05,0.5085493
37.1,0.5310791
37.15,0.5469583
37.2,0.5745762
37.25,0.6049662
37.3,0.6190104
37.35,0.6429636
37.4,0.6662817
37.45,0.6801769
37.5,0.6725896
37.55,0.6339462
37.6,0.5973996
37.65,0.6816269
37.7,1.423698
37.75,3.565887
37.8,6.965218
37.85,10.85698
37.9,14.38454
37.95,17.03795
38,18.58144
38.05,18.97816
38.1,18.50603
38.15,17.20548
38.2,15.01514
38.25,12.38113
38.3,9.92173
38.35,7.9316
38.4,6.412246
38.45,5.183072
38.5,4.163694
38.55,3.322199
38.6,2.691204
38.65,2.232792
38.7,1.917863
38.75,1.653461
38.8,1.472477
38.85,1.323867
38.9,1.213873
38.95,1.133664
39,1.071878
39.05,1.022939
39.1,0.97358
39.15,0.9436058
39.2,0.9373195
39.25,0.9276139
39.3,0.9221036
39.35,0.8953851
39.4,0.8556813
39.45,0.8199341
39.5,0.8062728
39.55,0.8240304
39.6,0.8452329
39.65,0.8524784
39.7,0.8453817
39.75,0.8061803
39.8,0.7657519
39.85,0.7351009
39.9,0.7132773
39.95,0.7045917
40,0.7014571
40.05,0.6931661
40.1,0.6941508
40.15,0.6803179
40.2,0.6734487
40.25,0.6562266
40.3,0.6534293
40.35,0.6516602
40.4,0.6402964
40.45,0.6567169
40.5,0.6869621
40.55,0.6708407
40.6,0.6466246
40.65,0.6195627
40.7,0.604683
40.75,0.6308122
40.8,0.6800781
40.85,0.7478297
40.9,0.7810262
40.95,0.7708195
41,0.7502347
41.05,0.6970332
41.1,0.6951308
41.15,0.706414
41.2,0.6951576
41.25,0.6993726
41.3,0.6901692
41.35,0.6853419
41.4,0.6862978
41.45,0.7014226
41.5,0.7182311
41.55,0.7219188
41.6,0.7360979
41.65,0.7402272
41.7,0.7246727
41.75,0.7090691
41.8,0.6978328
41.85,0.6958053
41.9,0.7345684
41.95,0.7794813
42,0.8018697
42.05,0.8269517
42.1,0.8489101
42.15,0.8541888
42.2,0.8311967
42.25,0.8108109
42.3,0.776369
42.35,0.7206532
42.4,0.6854931
42.45,0.6934949
42.5,0.7097066
42.55,0.7165754
42.6,0.7192968
42.65,0.7287661
42.7,0.7343387
42.75,0.7449379
42.8,0.7574624
42.85,0.7655718
42.9,0.7719376
42.95,0.8081625
43,0.8393385
43.05,0.9326
43.1,1.110621
43.15,1.377839
43.2,1.830537
43.25,2.547921
43.3,3.481264
43.35,4.59225
43.4,5.879431
43.45,7.171903
43.5,8.404016
43.55,9.456953
43.6,10.34444
43.65,11.03889
43.7,11.64371
43.75,12.19817
43.8,12.62524
43.85,12.91357
43.9,13.17007
43.95,13.3311
44,13.32337
44.05,13.17852
44.1,12.80365
44.15,12.1391
44.2,11.22427
44.25,10.12637
44.3,8.919281
44.35,7.677392
44.4,6.475641
44.45,5.37377
44.5,4.415284
44.55,3.67714
44.6,3.020898
44.65,2.427529
44.7,1.973968
44.75,1.642835
44.8,1.410823
44.85,1.276265
44.9,1.182208
44.95,1.11563
45,0.9869766
45.05,0.9400528
45.1,0.8931121
45.15,0.866736
45.2,0.8441912
45.25,0.8222766
45.3,0.8938907
45.35,0.9981329
45.4,1.01334
45.45,0.9626762
45.5,0.8613471
45.55,0.7598124
45.6,0.6790117
45.65,0.6627876
45.7,0.692826
45.75,0.7077052
45.8,0.7064507
45.85,0.7257766
45.9,0.7214279
45.95,0.684059
46,0.6481123
46.05,0.6197537
46.1,0.595003
46.15,0.5747648
46.2,0.5665407
46.25,0.5600814
46.3,0.5637283
46.35,0.5869526
46.4,0.6124534
46.45,0.6454403
46.5,0.6533839
46.55,0.6513488
46.6,0.6377849
46.65,0.6197554
46.7,0.6513484
46.75,0.7182
46.8,0.7810687
46.85,0.818288
46.9,0.7997137
46.95,0.7743089
47,0.7064574
47.05,0.6399209
47.1,0.6270096
47.15,0.6441938
47.2,0.6465078
47.25,0.6586876
47.3,0.6924913
47.35,0.7130206
47.4,0.6811733
47.45,0.6424192
47.5,0.635388
47.55,0.6421957
47.6,0.6522169
47.65,0.7034529
47.7,0.7426257
47.75,0.7569683
47.8,0.7471085
47.85,0.7409177
47.9,0.7430131
47.95,0.7480565
48,0.7673467
48.05,0.7735251
48.1,0.7568089
48.15,0.7429127
48.2,0.7389892
48.25,0.7354989
48.3,0.728594
48.35,0.723338
48.4,0.7146301
48.45,0.7047806
48.5,0.7175266
48.55,0.7485583
48.6,0.7581615
48.65,0.7550781
48.7,0.7560567
48.75,0.7571347
48.8,0.7573395
48.85,0.7609206
48.9,0.758808
48.95,0.779186
49,0.8350626
49.05,0.8984165
49.1,0.9553105
49.15,0.9929143
49.2,0.9826588
49.25,0.9383389
49.3,0.8971745
49.35,0.8708028
49.4,0.8765203
49.45,0.8838744
49.5,0.8848343
49.55,0.9206953
49.6,0.9282995
49.65,0.9465982
49.7,0.97476
49.75,1.003719
49.8,1.037507
49.85,1.077155
49.9,1.12406
49.95,1.22214
50,1.343109
50.05,1.47247
50.1,1.534273
50.15,1.549505
50.2,1.617369
50.25,1.690765
50.3,1.77864
50.35,1.956282
50.4,2.186534
50.45,2.395969
50.5,2.590779
50.55,2.809393
50.6,3.030999
50.65,3.233819
50.7,3.4851
50.75,3.759796
50.8,4.014188
50.85,4.286244
50.9,4.599042
50.95,4.889724
51,5.207884
51.05,5.539337
51.1,5.915344
51.15,6.311768
51.2,6.744203
51.25,7.189909
51.3,7.588981
51.35,7.991346
51.4,8.445436
51.45,8.793909
51.5,9.128387
51.55,9.425174
51.6,9.493963
51.65,9.53893
51.7,9.659499
51.75,9.965061
51.8,10.2013
51.85,10.31805
51.9,10.35733
51.95,10.23649
52,9.979046
52.05,9.862743
52.1,9.844824
52.15,9.748073
52.2,9.556513
52.25,9.333524
52.3,9.020044
52.35,8.695444
52.4,8.35959
52.45,7.98891
52.5,7.550705
52.55,7.034236
52.6,6.540805
52.65,6.044396
52.7,5.557845
52.75,5.103947
52.8,4.664951
52.85,4.276264
52.9,3.916519
52.95,3.53939
53,3.17274
53.05,2.838659
53.1,2.552167
53.15,2.302845
53.2,2.061591
53.25,1.852652
53.3,1.679712
53.35,1.534428
53.4,1.439644
53.45,1.368818
53.5,1.306395
53.55,1.228494
53.6,1.141343
53.65,1.06149
53.7,0.9556432
53.75,0.8811983
53.8,0.8525751
53.85,0.8582364
53.9,0.8545625
53.95,0.815132
54,0.7690086
54.05,0.722786
54.1,0.7181127
54.15,0.783242
54.2,0.8347737
54.25,0.8693861
54.3,0.8360087
54.35,0.7732819
54.4,0.7165545
54.45,0.6823557
54.5,0.6555606
54.55,0.6366907
54.6,0.6212115
54.65,0.6384071
54.7,0.6924731
54.75,0.741581
54.8,0.7354223
54.85,0.6953814
54.9,0.671672
54.95,0.6613042
55,0.663378
55.05,0.694559
55.1,0.698156
55.15,0.661128
55.2,0.6380091
55.25,0.6608055
55.3,0.6903507
55.35,0.7345259
55.4,0.7752073
55.45,0.784932
55.5,0.7659772
55.55,0.7636599
55.6,0.7740474
55.65,0.757061
55.7,0.7840144
55.75,0.8191918
55.8,0.8309542
55.85,0.891974
55.9,0.9553025
55.95,1.002123
56,1.017028
56.05,1.031898
56.1,1.142915
56.15,1.165378
56.2,1.195026
56.25,1.206409
56.3,1.185488
56.35,1.212511
56.4,1.302976
56.45,1.447211
56.5,1.615535
56.55,1.733499
56.6,1.83487
56.65,1.918188
56.7,1.960478
56.75,1.965973
56.8,1.923683
56.85,1.91118
56.9,1.962535
56.95,2.067747
57,2.24813
57.05,2.435993
57.1,2.56729
57.15,2.676861
57.2,2.776609
57.25,2.890475
57.3,2.968297
57.35,3.036199
57.4,3.121049
57.45,3.210822
57.5,3.385183
57.55,3.635027
57.6,3.866591
57.65,4.00606
57.7,4.133088
57.75,4.244765
57.8,4.375978
57.85,4.490475
57.9,4.627411
57.95,4.729327
58,4.808855
58.05,5.010273
58.1,5.219707
58.15,5.365669
58.2,5.466075
58.25,5.492746
58.3,5.501075
58.35,5.545794
58.4,5.611304
58.45,5.697809
58.5,5.7859
58.55,5.910044
58.6,5.840622
58.65,5.864766
58.7,5.915886
58.75,5.971878
58.8,5.961106
58.85,5.944844
58.9,5.913082
58.95,5.809964
59,5.731853
59.05,5.729265
59.1,5.565129
59.15,5.33775
59.2,5.152718
59.25,5.061719
59.3,5.103308
59.35,5.233366
59.4,5.357692
59.45,5.348642
59.5,5.190001
59.55,4.932014
59.6,4.724634
59.65,4.617945
59.7,4.513064
59.75,4.436395
59.8,4.37894
59.85,4.28622
59.9,4.187562
59.95,4.126216
60,4.042426
60.05,3.895388
60.1,3.796499
60.15,3.728099
60.2,3.58748
60.25,3.479924
60.3,3.411898
60.35,3.278573
60.4,3.109113
60.45,2.970925
60.5,2.89761
60.55,2.790127
60.6,2.679301
60.65,2.636455
60.7,2.550919
60.75,2.503136
60.8,2.459946
60.85,2.439802
60.9,2.378131
60.95,2.263439
61,2.147431
61.05,2.080378
61.1,2.024376
61.15,1.936408
61.2,1.863996
61.25,1.812455
61.3,1.801048
61.35,1.829512
61.4,1.804538
61.45,1.739544
61.5,1.632809
61.55,1.540521
61.6,1.518962
61.65,1.519739
61.7,1.529169
61.75,1.540502
61.8,1.499646
61.85,1.414343
61.9,1.336771
61.95,1.304729
62,1.289482
62.05,1.268333
62.1,1.274725
62.15,1.264103
62.2,1.190875
62.25,1.113122
62.3,1.057679
62.35,1.016374
62.4,0.9890217
62.45,0.9748625
62.5,0.9928456
62.55,1.007599
62.6,1.005214
62.65,1.015884
62.7,0.9833661
62.75,0.9491569
62.8,0.9121315
62.85,0.894557
62.9,0.899361
62.95,0.8753815
63,0.9086914
63.05,0.9275657
63.1,0.866069
63.15,0.8194608
63.2,0.7841572
63.25,0.7747682
63.3,0.7538539
63.35,0.7402983
63.4,0.7142425
63.45,0.7069951
63.5,0.756539
63.55,0.8169825
63.6,0.8510664
63.65,0.8776545
63.7,0.8864631
63.75,0.8664144
63.8,0.8258203
63.85,0.7700702
63.9,0.6718222
63.95,0.5997626
64,0.6023094
64.05,0.6428427
64.1,0.6585488
64.15,0.6371175
64.2,0.5940147
64.25,0.5507238
64.3,0.5658466
64.35,0.6219387
64.4,0.6604696
64.45,0.6780796
64.5,0.6667226
64.55,0.6385006
64.6,0.6129734
64.65,0.5937749
64.7,0.5948695
64.75,0.557738
64.8,0.5436225
64.85,0.53105
64.9,0.5024948
64.95,0.4845926
65,0.4518889
65.05,0.4543992
65.1,0.4476822
65.15,0.4332489
65.2,0.4473488
65.25,0.4537239
65.3,0.4450811
65.35,0.4399629
65.4,0.439554
65.45,0.4269003
65.5,0.3851969
65.55,0.3736684
65.6,0.3727784
65.65,0.3752719
65.7,0.3719912
65.75,0.3623201
65.8,0.3429418
65.85,0.3176214
65.9,0.3239843
65.95,0.331633
66,0.3180529
66.05,0.3121978
66.1,0.3103472
66.15,0.3287861
66.2,0.3648384
66.25,0.3961653
66.3,0.4084661
66.35,0.38332
66.4,0.3529134
66.45,0.3375689
66.5,0.3431574
66.55,0.3656613
66.6,0.3598678
66.65,0.332585
66.7,0.2915337
66.75,0.2676404
66.8,0.284651
66.85,0.3076748
66.9,0.3210968
66.95,0.3142682
67,0.2864178
67.05,0.2566726
67.1,0.2459631
67.15,0.2607387
67.2,0.2778959
67.25,0.2649591
67.3,0.2565375
67.35,0.2706459
67.4,0.2350935
67.45,0.2211428
67.5,0.2224388
67.55,0.2159949
67.6,0.215813
67.65,0.1936943
67.7,0.2299683
67.75,0.2335523
67.8,0.2217213
67.85,0.2560703
67.9,0.2611052
67.95,0.2440883
68,0.2098449
68.05,0.1906011
68.1,0.2033677
68.15,0.2015529
68.2,0.2178234
68.25,0.2342936
68.3,0.2373393
68.35,0.2429845
68.4,0.2552454
68.45,0.2660561
68.5,0.2660561
68.55,0.2660561
68.6,0.2660561
68.65,0.2660561
68.7,0.2660561
68.75,0.2660561
68.8,0.2660561
68.85,0.2660561
68.9,0.2660561
68.95,0.2660561
69,0.2660561
69.05,0.2660561
69.1,0.2660561
69.15,0.2660561
69.2,0.2660561
69.25,0.2660561
69.3,0.2660561
69.35,0.2660561
69.4,0.2660561
69.45,0.2660561
69.5,0.2660561
69.55,0.2660561
69.6,0.2660561
69.65,0.2660561
69.7,0.2660561
69.75,0.2660561
69.8,0.2660561
69.85,0.2660561
69.9,0.2660561
69.95,0.2660561
