# Data File Name,Prokaryote Total RNA Nano_2021-02-25_15-58-04.xad
# Data File Path,C:\Users\cremerlab\Desktop
# Date Created,"Thursday, February 25, 2021 11:58:03 PM"
# Date Last Modified,"Friday, February 26, 2021 12:13:24 AM"
# Version Created,B.02.11.SI811
# Version Last Modified,B.02.11.SI811
#  
# Assay Name,Prokaryote Total RNA Nano Series II
# Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
# Assay Title,Prokaryote Total RNA Nano
# Assay Version,2.5
#  
# Number of Samples Run,4
#  
# Sample Name,NCM3722_RNA_pilot
# Number of Events,1060
#  
Time,Value
56.95,0.7732348
57,0.6861978
57.05,0.5904363
57.1,0.5937592
57.15,0.6615751
57.2,0.7496999
57.25,0.7175683
57.3,0.6486411
57.35,0.5591967
57.4,0.5040815
57.45,0.4854493
57.5,0.4880894
57.55,0.4788618
57.6,0.4728902
57.65,0.4570321
57.7,0.5145646
57.75,0.5687533
57.8,0.5784384
57.85,0.520889
57.9,0.4857665
57.95,0.4823763
58,0.4750213
58.05,0.4836231
58.1,0.503746
58.15,0.4761901
58.2,0.4582695
58.25,0.5254288
58.3,0.593043
58.35,0.6201917
58.4,0.6045902
58.45,0.5429673
58.5,0.4629884
58.55,0.4378015
58.6,0.4673437
58.65,0.4723597
58.7,0.4539355
58.75,0.4424367
58.8,0.3697844
58.85,0.3152458
58.9,0.2873866
58.95,0.3505073
59,0.3610034
59.05,0.4068346
59.1,0.4296911
59.15,0.4134874
59.2,0.3653454
59.25,0.3569049
59.3,0.3695519
59.35,0.3972533
59.4,0.4138776
59.45,0.4290363
59.5,0.4108205
59.55,0.4013967
59.6,0.4165233
59.65,0.4488028
59.7,0.458223
59.75,0.4421376
59.8,0.4226252
59.85,0.3900364
59.9,0.3756142
59.95,0.3831478
60,0.3921522
60.05,0.3821433
60.1,0.372713
60.15,0.3704391
60.2,0.3867208
60.25,0.3715115
60.3,0.3711944
60.35,0.3296061
60.4,0.2702253
60.45,0.2897872
60.5,0.3313753
60.55,0.3597993
60.6,0.3878947
60.65,0.3760799
60.7,0.3764029
60.75,0.3739938
60.8,0.3931451
60.85,0.4428018
60.9,0.4324195
60.95,0.4156138
61,0.3570832
61.05,0.291984
61.1,0.2655225
61.15,0.2764179
61.2,0.2933907
61.25,0.3124371
61.3,0.3382314
61.35,0.3473676
61.4,0.3435112
61.45,0.4021489
61.5,0.4603596
61.55,0.4326355
61.6,0.4044151
61.65,0.379356
61.7,0.3998793
61.75,0.4033974
61.8,0.3987383
61.85,0.421371
61.9,0.3957654
61.95,0.3900491
62,0.3912762
62.05,0.3659583
62.1,0.4287435
62.15,0.4184396
62.2,0.42709
62.25,0.4151533
62.3,0.3740896
62.35,0.3359367
62.4,0.2925832
62.45,0.2657537
62.5,0.2576359
62.55,0.2415692
62.6,0.2630464
62.65,0.2965721
62.7,0.3336981
62.75,0.3457885
62.8,0.3122538
62.85,0.2936486
62.9,0.2853218
62.95,0.2977187
63,0.3332928
63.05,0.3486451
63.1,0.3605524
63.15,0.344268
63.2,0.3341992
63.25,0.3595956
63.3,0.3607883
63.35,0.3427042
