well,od_600nm,time_s,temp_C,instrument,medium,sample,replicate
B10,0.0875,31637.388,37.0,Tecan Spark,water,blank,0
B10,0.0876,32032.757999999998,37.1,Tecan Spark,water,blank,0
B10,0.0876,32428.31,37.1,Tecan Spark,water,blank,0
B10,0.0876,32823.77,37.1,Tecan Spark,water,blank,0
B10,0.0876,33219.2,37.0,Tecan Spark,water,blank,0
B10,0.0876,33614.67,37.0,Tecan Spark,water,blank,0
B10,0.0875,34010.167,37.0,Tecan Spark,water,blank,0
B10,0.0875,34405.619,37.0,Tecan Spark,water,blank,0
B10,0.0876,34801.155,37.0,Tecan Spark,water,blank,0
B10,0.0876,3164.184,37.1,Tecan Spark,water,blank,0
B10,0.0876,35196.619,37.1,Tecan Spark,water,blank,0
B10,0.0876,35592.087999999996,37.1,Tecan Spark,water,blank,0
B10,0.0876,35987.535,37.1,Tecan Spark,water,blank,0
B10,0.0876,36382.976,37.0,Tecan Spark,water,blank,0
B10,0.0876,36778.53,37.0,Tecan Spark,water,blank,0
B10,0.0876,37174.021,37.0,Tecan Spark,water,blank,0
B10,0.0877,37569.456,37.1,Tecan Spark,water,blank,0
B10,0.0876,37964.917,37.1,Tecan Spark,water,blank,0
B10,0.0877,38360.365,37.1,Tecan Spark,water,blank,0
B10,0.0877,38755.791,37.0,Tecan Spark,water,blank,0
B11,0.0871,0.0,36.6,Tecan Spark,water,blank,0
B11,0.0872,3559.551,37.1,Tecan Spark,water,blank,0
B11,0.0872,39151.248,37.0,Tecan Spark,water,blank,0
B11,0.0871,39546.715,37.0,Tecan Spark,water,blank,0
B11,0.0871,39942.22,37.1,Tecan Spark,water,blank,0
B11,0.0871,40337.643,37.1,Tecan Spark,water,blank,0
B11,0.0872,40733.094,37.1,Tecan Spark,water,blank,0
B11,0.0872,41128.647000000004,37.0,Tecan Spark,water,blank,0
B11,0.0871,41524.157999999996,37.0,Tecan Spark,water,blank,0
B11,0.087,41919.574,37.1,Tecan Spark,water,blank,0
B11,0.0871,42315.054000000004,37.1,Tecan Spark,water,blank,0
B11,0.087,42710.475,37.1,Tecan Spark,water,blank,0
B11,0.0872,3954.9770000000003,37.1,Tecan Spark,water,blank,0
B11,0.087,43105.9,37.1,Tecan Spark,water,blank,0
B11,0.087,43501.395,37.1,Tecan Spark,water,blank,0
B11,0.0871,43896.864,37.0,Tecan Spark,water,blank,0
B11,0.0871,44292.319,37.1,Tecan Spark,water,blank,0
B11,0.0871,44687.802,37.1,Tecan Spark,water,blank,0
B11,0.0871,45083.237,37.1,Tecan Spark,water,blank,0
B11,0.0872,45478.776,37.1,Tecan Spark,water,blank,0
B11,0.087,45874.239,37.1,Tecan Spark,water,blank,0
B11,0.0871,46269.630999999994,37.1,Tecan Spark,water,blank,0
B11,0.0871,46665.109000000004,37.0,Tecan Spark,water,blank,0
B11,0.0871,4350.436,37.0,Tecan Spark,water,blank,0
B11,0.087,47060.475,37.0,Tecan Spark,water,blank,0
B11,0.0871,47455.916,37.1,Tecan Spark,water,blank,0
B11,0.0871,47851.398,37.1,Tecan Spark,water,blank,0
B11,0.0872,48246.855,37.1,Tecan Spark,water,blank,0
B11,0.0871,48642.29,37.1,Tecan Spark,water,blank,0
B11,0.0871,49037.852,37.0,Tecan Spark,water,blank,0
B11,0.0871,49433.335999999996,37.1,Tecan Spark,water,blank,0
B11,0.0871,49828.715,37.1,Tecan Spark,water,blank,0
B11,0.0871,50224.199,37.1,Tecan Spark,water,blank,0
B11,0.0871,50619.715,37.1,Tecan Spark,water,blank,0
B11,0.0872,4745.875,37.1,Tecan Spark,water,blank,0
B11,0.0872,51015.10400000001,37.1,Tecan Spark,water,blank,0
B11,0.0871,51410.606,37.1,Tecan Spark,water,blank,0
B11,0.087,51806.096,37.0,Tecan Spark,water,blank,0
B11,0.0871,52201.477999999996,37.1,Tecan Spark,water,blank,0
B11,0.0871,52597.013,37.0,Tecan Spark,water,blank,0
B11,0.0871,52992.488,37.0,Tecan Spark,water,blank,0
B11,0.087,53387.867,37.0,Tecan Spark,water,blank,0
B11,0.0872,53783.367999999995,37.1,Tecan Spark,water,blank,0
B11,0.0871,54178.846,37.1,Tecan Spark,water,blank,0
B11,0.0871,54574.263,37.0,Tecan Spark,water,blank,0
B11,0.0871,5141.345,37.1,Tecan Spark,water,blank,0
B11,0.0871,54969.791,37.1,Tecan Spark,water,blank,0
B11,0.0871,55365.273,37.0,Tecan Spark,water,blank,0
B11,0.0871,55760.647000000004,37.1,Tecan Spark,water,blank,0
B11,0.0871,56156.168,37.1,Tecan Spark,water,blank,0
B11,0.0871,56551.557,37.1,Tecan Spark,water,blank,0
B11,0.087,56946.972,37.1,Tecan Spark,water,blank,0
B11,0.087,57342.45,37.0,Tecan Spark,water,blank,0
B11,0.087,57737.922999999995,37.1,Tecan Spark,water,blank,0
B11,0.0871,58133.337999999996,37.1,Tecan Spark,water,blank,0
B11,0.0871,58528.852999999996,37.1,Tecan Spark,water,blank,0
B11,0.0872,5536.736999999999,37.0,Tecan Spark,water,blank,0
B11,0.087,58924.325,37.1,Tecan Spark,water,blank,0
B11,0.0871,59319.734000000004,37.1,Tecan Spark,water,blank,0
B11,0.0871,59715.185,37.0,Tecan Spark,water,blank,0
B11,0.0871,60110.649000000005,37.1,Tecan Spark,water,blank,0
B11,0.0871,60506.054000000004,37.1,Tecan Spark,water,blank,0
B11,0.0871,60901.518,37.1,Tecan Spark,water,blank,0
B11,0.0871,61297.001,37.1,Tecan Spark,water,blank,0
B11,0.087,61692.374,37.1,Tecan Spark,water,blank,0
B11,0.0871,62087.89599999999,37.1,Tecan Spark,water,blank,0
B11,0.0871,62483.350999999995,37.1,Tecan Spark,water,blank,0
B11,0.0871,5932.165,37.1,Tecan Spark,water,blank,0
B11,0.0871,62878.765999999996,37.1,Tecan Spark,water,blank,0
B11,0.0872,63274.240999999995,37.1,Tecan Spark,water,blank,0
B11,0.0871,63669.774000000005,37.1,Tecan Spark,water,blank,0
B11,0.0871,64065.178,37.1,Tecan Spark,water,blank,0
B11,0.0871,64460.710999999996,37.1,Tecan Spark,water,blank,0
B11,0.0871,64856.178,37.0,Tecan Spark,water,blank,0
B11,0.0871,65251.54,37.1,Tecan Spark,water,blank,0
