slope,intercept,sigma,buffer_base,compound,area_param
0.0073793,-0.00136043,0.00560292,DM,acetate,rel_area_phosphate
0.0073507,-0.00136037,0.00348865,DM,acetate,rel_area_phosphate
0.00740087,-0.000541105,0.00580057,DM,acetate,rel_area_phosphate
0.00726606,0.0025023,0.00435398,DM,acetate,rel_area_phosphate
0.00747422,-0.00447183,0.00543411,DM,acetate,rel_area_phosphate
0.00725559,0.00164351,0.00316099,DM,acetate,rel_area_phosphate
0.00735315,8.51588e-05,0.00336119,DM,acetate,rel_area_phosphate
0.00743615,-0.00256028,0.00486669,DM,acetate,rel_area_phosphate
0.00688429,0.00235224,0.00997474,DM,acetate,rel_area_phosphate
0.00741297,-0.00148577,0.00425443,DM,acetate,rel_area_phosphate
0.00738447,-0.0019001,0.00520129,DM,acetate,rel_area_phosphate
0.00771743,-0.00353422,0.00538205,DM,acetate,rel_area_phosphate
0.00718925,0.000169792,0.00349233,DM,acetate,rel_area_phosphate
0.00748034,-0.00298724,0.00512793,DM,acetate,rel_area_phosphate
0.00756437,-0.00262434,0.00532159,DM,acetate,rel_area_phosphate
0.00733537,0.000663512,0.00692741,DM,acetate,rel_area_phosphate
0.00732474,-0.00155618,0.00456996,DM,acetate,rel_area_phosphate
0.0073811,-0.00378135,0.00539211,DM,acetate,rel_area_phosphate
0.00720457,0.000354043,0.00391547,DM,acetate,rel_area_phosphate
0.00715421,0.00127854,0.00654586,DM,acetate,rel_area_phosphate
0.00755812,-0.00169526,0.00637004,DM,acetate,rel_area_phosphate
0.00761198,-0.00297342,0.00569611,DM,acetate,rel_area_phosphate
0.00781336,-0.00432501,0.00636465,DM,acetate,rel_area_phosphate
0.00732365,-0.00143149,0.00421564,DM,acetate,rel_area_phosphate
0.00727275,-0.00206532,0.00426122,DM,acetate,rel_area_phosphate
0.00744367,-0.00321278,0.00572791,DM,acetate,rel_area_phosphate
0.00728079,0.000817759,0.00336299,DM,acetate,rel_area_phosphate
0.00748975,-0.00237696,0.00324368,DM,acetate,rel_area_phosphate
0.00724909,0.000486494,0.0114682,DM,acetate,rel_area_phosphate
0.0069167,0.00489244,0.00980075,DM,acetate,rel_area_phosphate
0.00699568,0.00303081,0.00488402,DM,acetate,rel_area_phosphate
0.00775292,-0.00567657,0.00513486,DM,acetate,rel_area_phosphate
0.00753828,-0.00161437,0.00631868,DM,acetate,rel_area_phosphate
0.00734136,5.54209e-05,0.00583055,DM,acetate,rel_area_phosphate
0.00721277,0.000328055,0.00575433,DM,acetate,rel_area_phosphate
0.00743912,-0.001634,0.00363577,DM,acetate,rel_area_phosphate
0.00730443,-0.000906253,0.00302842,DM,acetate,rel_area_phosphate
0.00740085,-0.000456886,0.00350945,DM,acetate,rel_area_phosphate
0.00734949,-0.000234034,0.00351506,DM,acetate,rel_area_phosphate
0.00726231,-0.00111327,0.00417979,DM,acetate,rel_area_phosphate
0.00740422,-0.00105544,0.00348899,DM,acetate,rel_area_phosphate
0.00740422,-0.00105544,0.00348899,DM,acetate,rel_area_phosphate
0.00724942,-0.000309238,0.00584306,DM,acetate,rel_area_phosphate
0.00706723,-0.000210784,0.00823686,DM,acetate,rel_area_phosphate
0.00717148,-0.00151676,0.0112255,DM,acetate,rel_area_phosphate
0.00759601,-0.00446917,0.0074381,DM,acetate,rel_area_phosphate
0.00756791,-0.00310261,0.00761812,DM,acetate,rel_area_phosphate
0.00733791,-0.00224688,0.00389346,DM,acetate,rel_area_phosphate
0.00736384,-0.000236084,0.0046173,DM,acetate,rel_area_phosphate
