amplitude,area,peak_idx,retention_time,scale,skew,replicate,sample_idx,compound
10572.897473728057,1268747.6968473669,1,10.952470557814072,0.14374192038469144,1.8100398226273555,1,6,NaCl
32638.031163153915,3916563.7395784697,2,15.10571625045399,0.26818574670728584,-3.1197203077769697,1,6,phosphate
9345.71138421407,1121485.3661056885,3,15.7343493073891,0.2028990490601747,-0.9385541275983451,1,6,glucose
98.98779648255746,11878.535577906894,4,24.92294967500513,0.23790332306233652,1.0472637929926074,1,6,acetate
17341.552168328453,2080986.2601994146,1,10.978297492653125,0.13525367211715789,1.366665094777721,1,7,NaCl
50899.962584687215,6107995.510162467,2,15.219354356604171,0.3101180527456726,-4.123441097164326,1,7,phosphate
17106.65565813476,2052798.6789761716,3,15.772194070094354,0.2594665511755621,-1.4120002505341236,1,7,glucose
182.7350992825135,21928.211913901618,4,24.928763275762215,0.23694097932474156,1.0038588473855108,1,7,acetate
17205.184594539205,2064622.1513447044,1,10.975551909145658,0.1356182782425989,1.3852028930897753,2,1,NaCl
50962.261179776266,6115471.339239033,2,15.217506315726844,0.3095817965339072,-4.099694983847779,2,1,phosphate
18290.22510099558,2194827.01211947,3,15.758643823351061,0.2405475220732324,-1.214873666238195,2,1,glucose
17231.219634408146,2067746.3561289774,1,10.978006513914437,0.13517022661846795,1.3711848363956918,2,2,NaCl
51040.899291489055,6124907.914978687,2,15.220886196259745,0.3098664710633782,-4.107543248301143,2,2,phosphate
18092.423344738552,2171090.8013686263,3,15.763545050291798,0.24312669279011556,-1.2410856660371477,2,2,glucose
74.59887801128838,8951.865361341286,4,24.91969524643739,0.24160934883930535,1.1757372050400634,2,2,acetate
17218.535707782787,2066224.2849339345,1,10.978135523958407,0.13558472085242818,1.3735015407094004,2,3,NaCl
50987.699086148634,6118523.890337836,2,15.2219311699786,0.31005947882741636,-4.1073811176383375,2,3,phosphate
17878.387000043684,2145406.4400052424,3,15.766997018409905,0.2457895769333928,-1.2653515039844576,2,3,glucose
94.01519089704914,11281.822907640364,4,24.92593707240364,0.23564759106121808,1.0798463102429416,2,3,acetate
17209.525236350306,2065143.0283620364,1,10.977904305924946,0.135974320073357,1.3781993431351527,2,4,NaCl
50944.60893856308,6113353.07262757,2,15.219972131905184,0.3100831503830884,-4.10495942306814,2,4,phosphate
17672.812385481633,2120737.4862577957,3,15.766697772143688,0.24821405179189368,-1.2879196152374661,2,4,glucose
113.39069864939769,13606.883837895326,4,24.921460314553748,0.23886073188559137,1.1167255170874602,2,4,acetate
14253.484980347223,1710418.197641667,1,10.962714852335493,0.1359312205591312,1.5825383157643205,2,5,NaCl
43430.642599127204,5211677.111895265,2,15.17008491219499,0.29111227925230776,-3.666849845063438,2,5,phosphate
13473.20363892338,1616784.436670806,3,15.739877371423015,0.21937956560830954,-1.1327702576449563,2,5,glucose
112.82833276966485,13539.399932325476,4,24.91526184471809,0.23290366069299884,1.0387706568807533,2,5,acetate
17289.623168843616,2074754.780261234,1,10.977547294178496,0.13533510970269008,1.367593326945108,2,6,NaCl
51061.47227208063,6127376.672649676,2,15.220744580438147,0.3103126162545759,-4.1242962285880305,2,6,phosphate
17167.627277114592,2060115.2732537515,3,15.770665126469957,0.2536147477914566,-1.3507928709201384,2,6,glucose
161.44327712097288,19373.193254514925,4,24.924636529443326,0.23777968116617124,1.0528718790105245,2,6,acetate
14439.088051812674,1732690.5662175207,1,10.962687910773088,0.13575094700259296,1.5729650336046903,2,7,NaCl
43563.02096836053,5227562.516203264,2,15.172576052924452,0.2912071092246608,-3.695101586045134,2,7,phosphate
13054.356355007463,1566522.762600896,3,15.745230372541954,0.22400298143711328,-1.1970432643323383,2,7,glucose
146.86842043324643,17624.210451989435,4,24.915285156535916,0.23311996755222486,1.0667935888945783,2,7,acetate
12875.838518988421,1545100.622278611,1,10.958974131093017,0.1385768367524815,1.6228583723640917,3,1,NaCl
39682.407376438314,4761888.884584132,3,15.15009759070921,0.284283805488375,-3.472851139289027,3,1,phosphate
12558.082509434375,1506969.9011321254,4,15.730963475729856,0.20318552701495843,-0.897512935102435,3,1,glucose
12422.611546801609,1490713.385616193,1,10.953981465419153,0.14201948133007128,1.7293818485058159,3,2,NaCl
38391.91408144769,4607029.689764661,2,15.141579147703913,0.28125796691062155,-3.3654387772378347,3,2,phosphate
11851.787250843478,1422214.4701012175,3,15.627220561047608,0.1697666639048596,0.002438749125090437,3,2,glucose
52.67098240045655,6320.517888043638,4,24.91150813734965,0.24476357382706035,1.2768815587921685,3,2,acetate
12638.647696779015,1516637.7236134815,1,10.957110708467914,0.13922466389541505,1.7033484494527578,3,3,NaCl
38733.01095041878,4647961.314050253,2,15.145042157939084,0.2809942135052449,-3.444422799117822,3,3,phosphate
11833.14725066738,1419977.6700800855,3,15.730849363114318,0.20300098431133545,-0.9395214611338297,3,3,glucose
72.88035793951813,8745.642952742028,4,24.91962480958898,0.23252043374396986,1.0876400309902021,3,3,acetate
15678.841986492693,1881461.0383791232,1,10.977031710087298,0.13730236958408543,1.4684205283427914,3,4,NaCl
47394.794453400886,5687375.334408107,2,15.208521460583766,0.30249590082789785,-3.9062414575966486,3,4,phosphate
15364.172945837334,1843700.7535004807,3,15.77068307710056,0.23325310031994712,-1.1787044063663765,3,4,glucose
110.27781028236578,13233.337233849656,4,24.93840444998192,0.23445711357942492,1.0359249158017394,3,4,acetate
12050.820164349887,1446098.4197219862,1,10.95716070266086,0.14102589791422712,1.7353905900515518,3,5,NaCl
37079.05814385315,4449486.977262378,2,15.137958669127068,0.2782317261882122,-3.3724366594593547,3,5,phosphate
10879.531664604814,1305543.799752578,3,15.739625659865572,0.2052691266614867,-0.9619923053199594,3,5,glucose
101.2899869517038,12154.798434181881,4,24.931107139859833,0.23276825993423095,1.0652550485861978,3,5,acetate
16871.52537916492,2024583.04549979,1,10.97879332645217,0.1364396395433197,1.4101772635567595,3,6,NaCl
50532.61140854136,6063913.369024962,2,15.222758459698513,0.3090711330078477,-4.090462316150108,3,6,phosphate
16594.89088182331,1991386.9058187976,3,15.774371480503813,0.2461943636222667,-1.2847445677554237,3,6,glucose
155.28263798953117,18633.91655874358,4,24.93646525877246,0.23616050118334428,1.0220993555768574,3,6,acetate
