well,od_600nm,time_s,temp_C,instrument,strain,replicate
B10,0.07710000128,80265.5,37.4,infinite,blank,0
B10,0.07720000297,80560.6,37.5,infinite,blank,0
B10,0.07699999957999999,80855.7,37.2,infinite,blank,0
B10,0.07720000297,81150.8,37.6,infinite,blank,0
B10,0.07720000297,81445.8,36.9,infinite,blank,0
B10,0.07729999721,81740.9,37.4,infinite,blank,0
B10,0.07720000297,82036.0,37.3,infinite,blank,0
B10,0.07789999992,7967.2,37.5,infinite,blank,0
B10,0.07720000297,82331.1,37.2,infinite,blank,0
B10,0.07710000128,82626.2,37.6,infinite,blank,0
B10,0.07720000297,82921.3,37.2,infinite,blank,0
B10,0.07729999721,83216.4,37.6,infinite,blank,0
B10,0.0773999989,83511.5,37.0,infinite,blank,0
B10,0.07720000297,83806.6,37.3,infinite,blank,0
B10,0.07729999721,84101.7,37.6,infinite,blank,0
B10,0.0773999989,84396.7,37.0,infinite,blank,0
B10,0.07760000229,84691.8,37.4,infinite,blank,0
B10,0.07729999721,84986.9,37.5,infinite,blank,0
B10,0.07769999653,8262.2,37.3,infinite,blank,0
B10,0.07720000297,85282.0,37.1,infinite,blank,0
B10,0.07760000229,85577.1,37.6,infinite,blank,0
B10,0.0773999989,85872.2,37.0,infinite,blank,0
B10,0.0775000006,86167.3,37.5,infinite,blank,0
B10,0.07729999721,86462.4,37.3,infinite,blank,0
B10,0.0773999989,86757.5,37.4,infinite,blank,0
B10,0.07840000092999999,589.8,37.1,infinite,blank,0
B10,0.07779999822,8557.7,37.2,infinite,blank,0
B10,0.07769999653,8852.8,37.6,infinite,blank,0
B10,0.07789999992,9147.8,37.0,infinite,blank,0
B10,0.07789999992,9443.0,37.5,infinite,blank,0
B10,0.0781000033,9738.0,37.2,infinite,blank,0
B10,0.07769999653,10033.1,37.2,infinite,blank,0
B10,0.07789999992,10328.2,37.6,infinite,blank,0
B10,0.07760000229,10623.3,37.1,infinite,blank,0
B10,0.07800000161000001,10918.4,37.6,infinite,blank,0
B10,0.07769999653,11213.5,37.1,infinite,blank,0
B10,0.0781000033,884.9,37.2,infinite,blank,0
B10,0.07789999992,11508.6,37.6,infinite,blank,0
B10,0.0775000006,11803.7,37.0,infinite,blank,0
B10,0.07779999822,12098.8,37.4,infinite,blank,0
B10,0.07760000229,12393.9,37.2,infinite,blank,0
B10,0.07769999653,12689.0,37.3,infinite,blank,0
B10,0.07769999653,12984.1,37.5,infinite,blank,0
B10,0.07760000229,13279.2,37.3,infinite,blank,0
B10,0.0775000006,13574.3,37.6,infinite,blank,0
B10,0.07760000229,13869.4,37.2,infinite,blank,0
B10,0.0775000006,14164.5,37.6,infinite,blank,0
B10,0.07800000161000001,1180.0,37.5,infinite,blank,0
B10,0.07769999653,14459.6,37.1,infinite,blank,0
B10,0.07760000229,14754.7,37.6,infinite,blank,0
B10,0.07789999992,15049.8,37.1,infinite,blank,0
B10,0.07779999822,15344.8,37.3,infinite,blank,0
B10,0.07789999992,15639.9,37.5,infinite,blank,0
B10,0.07769999653,15935.0,36.9,infinite,blank,0
B10,0.07779999822,16230.5,37.4,infinite,blank,0
B10,0.07769999653,16525.5,37.3,infinite,blank,0
B10,0.07789999992,16820.6,37.2,infinite,blank,0
B10,0.07760000229,17115.7,37.5,infinite,blank,0
B10,0.07789999992,1475.1,37.2,infinite,blank,0
B10,0.07769999653,17410.8,37.2,infinite,blank,0
B10,0.07769999653,17705.9,37.6,infinite,blank,0
B10,0.07779999822,18001.0,37.3,infinite,blank,0
B10,0.07779999822,18296.1,37.6,infinite,blank,0
B10,0.07779999822,18591.2,37.3,infinite,blank,0
B10,0.0775000006,18886.3,37.5,infinite,blank,0
B10,0.0775000006,19181.4,37.2,infinite,blank,0
B10,0.0773999989,19476.5,37.6,infinite,blank,0
B10,0.0773999989,19771.5,37.2,infinite,blank,0
B10,0.0773999989,20066.7,37.6,infinite,blank,0
B10,0.07779999822,1770.2,36.9,infinite,blank,0
B10,0.07769999653,20361.8,36.9,infinite,blank,0
B10,0.07769999653,20656.8,37.5,infinite,blank,0
B10,0.0775000006,20951.9,37.2,infinite,blank,0
B10,0.0775000006,21247.0,37.4,infinite,blank,0
B10,0.07779999822,21542.1,37.4,infinite,blank,0
B10,0.0775000006,21837.2,37.3,infinite,blank,0
B10,0.07760000229,22132.3,37.6,infinite,blank,0
B10,0.07779999822,22427.4,37.2,infinite,blank,0
B10,0.07789999992,22722.5,37.6,infinite,blank,0
B10,0.0775000006,23017.6,36.9,infinite,blank,0
B10,0.07829999924,2065.3,36.9,infinite,blank,0
B10,0.07769999653,23312.7,37.4,infinite,blank,0
B10,0.0775000006,23607.8,37.6,infinite,blank,0
B10,0.07769999653,23902.9,37.2,infinite,blank,0
B10,0.0775000006,24198.0,37.5,infinite,blank,0
B10,0.07769999653,24493.1,37.3,infinite,blank,0
B10,0.07769999653,24788.1,37.2,infinite,blank,0
B10,0.07779999822,25083.2,37.6,infinite,blank,0
B10,0.07769999653,25378.3,37.0,infinite,blank,0
B10,0.07779999822,25673.4,37.6,infinite,blank,0
B10,0.07769999653,25968.5,37.3,infinite,blank,0
B10,0.0781000033,2360.4,36.9,infinite,blank,0
B10,0.07769999653,26263.6,37.3,infinite,blank,0
B10,0.07760000229,26558.7,37.6,infinite,blank,0
B10,0.07769999653,26853.8,37.1,infinite,blank,0
B10,0.0775000006,27148.9,37.6,infinite,blank,0
B10,0.07760000229,27444.0,36.9,infinite,blank,0
B10,0.0773999989,27739.1,37.5,infinite,blank,0
B10,0.07760000229,28034.2,37.2,infinite,blank,0
B10,0.0773999989,28329.3,37.1,infinite,blank,0
B10,0.07760000229,28624.4,37.5,infinite,blank,0
B10,0.07729999721,28919.5,37.5,infinite,blank,0
B11,0.0775000006,0.0,36.5,infinite,blank,0
B11,0.0773999989,2655.5,37.1,infinite,blank,0
B11,0.07720000297,29214.6,37.1,infinite,blank,0
B11,0.07699999957999999,29509.7,37.6,infinite,blank,0
B11,0.07710000128,29804.8,37.2,infinite,blank,0
B11,0.07720000297,30099.9,37.3,infinite,blank,0
B11,0.07729999721,30395.0,37.6,infinite,blank,0
B11,0.07720000297,30690.0,37.1,infinite,blank,0
B11,0.07720000297,30985.1,37.5,infinite,blank,0
B11,0.07720000297,31280.2,37.5,infinite,blank,0
B11,0.07710000128,31575.3,37.2,infinite,blank,0
B11,0.07699999957999999,31870.4,37.7,infinite,blank,0
B11,0.07729999721,2950.6,37.1,infinite,blank,0
B11,0.07699999957999999,32165.5,37.2,infinite,blank,0
B11,0.07699999957999999,32460.6,37.2,infinite,blank,0
B11,0.07710000128,32755.7,37.5,infinite,blank,0
B11,0.07699999957999999,33050.8,37.5,infinite,blank,0
B11,0.07720000297,33345.9,36.9,infinite,blank,0
B11,0.07720000297,33641.0,37.5,infinite,blank,0
B11,0.07729999721,33936.1,37.5,infinite,blank,0
B11,0.07699999957999999,34231.2,37.0,infinite,blank,0
B11,0.07729999721,34526.3,37.4,infinite,blank,0
B11,0.07720000297,34821.4,37.6,infinite,blank,0
B11,0.07760000229,3245.7,37.3,infinite,blank,0
B11,0.07720000297,35116.5,37.1,infinite,blank,0
B11,0.07710000128,35411.6,37.5,infinite,blank,0
B11,0.07720000297,35706.7,37.5,infinite,blank,0
B11,0.07729999721,36001.8,36.9,infinite,blank,0
B11,0.07720000297,36296.9,37.4,infinite,blank,0
B11,0.0773999989,36592.0,37.6,infinite,blank,0
B11,0.07729999721,36887.1,37.0,infinite,blank,0
B11,0.07710000128,37182.1,37.4,infinite,blank,0
B11,0.07729999721,37477.2,37.5,infinite,blank,0
B11,0.07710000128,37772.3,36.9,infinite,blank,0
B11,0.0775000006,3540.8,37.4,infinite,blank,0
B11,0.07720000297,38067.4,37.3,infinite,blank,0
B11,0.07720000297,38362.5,37.6,infinite,blank,0
B11,0.07729999721,38657.6,37.0,infinite,blank,0
B11,0.07710000128,38952.7,37.2,infinite,blank,0
B11,0.07720000297,39247.8,37.6,infinite,blank,0
B11,0.07689999789,39542.9,37.0,infinite,blank,0
B11,0.07710000128,39838.0,37.3,infinite,blank,0
B11,0.07689999789,40133.1,37.6,infinite,blank,0
B11,0.07729999721,40428.1,37.1,infinite,blank,0
B11,0.07699999957999999,40723.2,37.2,infinite,blank,0
B11,0.0773999989,3835.8,37.6,infinite,blank,0
B11,0.07710000128,41018.3,37.5,infinite,blank,0
B11,0.07699999957999999,41313.4,37.3,infinite,blank,0
B11,0.07720000297,41608.5,37.0,infinite,blank,0
B11,0.07720000297,41903.6,37.4,infinite,blank,0
B11,0.07729999721,42198.7,37.5,infinite,blank,0
B11,0.07699999957999999,42493.8,37.0,infinite,blank,0
B11,0.07720000297,42788.9,37.4,infinite,blank,0
B11,0.07710000128,43084.0,37.6,infinite,blank,0
B11,0.07720000297,43379.1,37.0,infinite,blank,0
B11,0.07720000297,43674.2,37.3,infinite,blank,0
B11,0.07720000297,4130.9,37.1,infinite,blank,0
B11,0.0773999989,43969.2,37.4,infinite,blank,0
B11,0.07710000128,44264.3,37.6,infinite,blank,0
B11,0.0773999989,44559.4,36.9,infinite,blank,0
B11,0.07710000128,44854.5,37.4,infinite,blank,0
B11,0.0775000006,45149.6,37.6,infinite,blank,0
B11,0.07729999721,45444.7,37.1,infinite,blank,0
B11,0.07710000128,45739.8,37.2,infinite,blank,0
B11,0.07710000128,46034.9,37.6,infinite,blank,0
B11,0.07720000297,46330.0,37.5,infinite,blank,0
B11,0.07710000128,46625.1,36.9,infinite,blank,0
B11,0.07760000229,4426.0,37.3,infinite,blank,0
B11,0.07710000128,46920.2,37.5,infinite,blank,0
B11,0.07710000128,47215.2,37.5,infinite,blank,0
B11,0.07720000297,47510.3,37.1,infinite,blank,0
B11,0.07699999957999999,47805.4,37.4,infinite,blank,0
B11,0.07720000297,48100.5,37.6,infinite,blank,0
B11,0.07710000128,48395.6,37.1,infinite,blank,0
B11,0.07710000128,48690.7,37.5,infinite,blank,0
B11,0.07680000365,48985.8,37.5,infinite,blank,0
B11,0.07720000297,49280.9,37.1,infinite,blank,0
B11,0.07710000128,49576.0,37.6,infinite,blank,0
B11,0.07729999721,4721.1,37.5,infinite,blank,0
B11,0.07720000297,49871.0,37.5,infinite,blank,0
B11,0.07710000128,50166.1,37.2,infinite,blank,0
B11,0.07720000297,50461.2,37.7,infinite,blank,0
B11,0.07720000297,50756.3,36.9,infinite,blank,0
B11,0.07720000297,51051.4,37.4,infinite,blank,0
B11,0.07729999721,51346.5,37.5,infinite,blank,0
B11,0.07720000297,51641.6,36.9,infinite,blank,0
B11,0.07710000128,51936.7,37.5,infinite,blank,0
B11,0.07720000297,52231.7,37.6,infinite,blank,0
B11,0.07710000128,52526.8,37.0,infinite,blank,0
B11,0.07729999721,5016.2,37.4,infinite,blank,0
B11,0.07729999721,52821.9,37.4,infinite,blank,0
B11,0.07729999721,53117.0,37.5,infinite,blank,0
B11,0.07710000128,53412.1,37.2,infinite,blank,0
B11,0.07720000297,53707.2,37.6,infinite,blank,0
B11,0.07710000128,54002.3,37.0,infinite,blank,0
B11,0.07789999992,54297.4,37.4,infinite,blank,0
B11,0.07729999721,54592.5,37.6,infinite,blank,0
B11,0.07699999957999999,54887.6,36.9,infinite,blank,0
B11,0.07710000128,55182.7,37.6,infinite,blank,0
B11,0.07699999957999999,55477.8,37.3,infinite,blank,0
B11,0.07710000128,5311.3,37.1,infinite,blank,0
B11,0.07720000297,55772.8,37.2,infinite,blank,0
B11,0.07699999957999999,56068.0,37.6,infinite,blank,0
B11,0.07720000297,56363.1,36.9,infinite,blank,0
B11,0.07699999957999999,56658.1,37.4,infinite,blank,0
B11,0.07689999789,56953.2,37.5,infinite,blank,0
B11,0.07699999957999999,57248.3,37.1,infinite,blank,0
B11,0.07710000128,57543.4,37.6,infinite,blank,0
B11,0.07699999957999999,57838.5,37.3,infinite,blank,0
B11,0.0773999989,58133.6,37.2,infinite,blank,0
B11,0.07689999789,58428.7,37.6,infinite,blank,0
B11,0.07769999653,294.8,37.3,infinite,blank,0
B11,0.07729999721,5606.4,37.5,infinite,blank,0
B11,0.07699999957999999,58723.8,36.9,infinite,blank,0
B11,0.07699999957999999,59018.9,37.5,infinite,blank,0
B11,0.07710000128,59314.0,37.3,infinite,blank,0
B11,0.07710000128,59609.1,37.3,infinite,blank,0
B11,0.07699999957999999,59904.2,37.6,infinite,blank,0
B11,0.07710000128,60199.3,37.4,infinite,blank,0
B11,0.07699999957999999,60494.4,37.3,infinite,blank,0
B11,0.07720000297,60789.4,37.5,infinite,blank,0
B11,0.07710000128,61084.5,37.2,infinite,blank,0
B11,0.07699999957999999,61379.6,37.3,infinite,blank,0
B11,0.07720000297,5901.5,37.2,infinite,blank,0
B11,0.0773999989,61674.7,37.5,infinite,blank,0
B11,0.07699999957999999,61969.8,37.0,infinite,blank,0
B11,0.07720000297,62264.9,37.5,infinite,blank,0
B11,0.07710000128,62560.0,37.3,infinite,blank,0
B11,0.07720000297,62855.1,37.4,infinite,blank,0
B11,0.07699999957999999,63150.2,37.6,infinite,blank,0
B11,0.07729999721,63445.3,37.2,infinite,blank,0
B11,0.07729999721,63740.4,37.6,infinite,blank,0
B11,0.07710000128,64035.5,37.0,infinite,blank,0
B11,0.07699999957999999,64330.6,37.6,infinite,blank,0
B11,0.07729999721,6196.6,37.2,infinite,blank,0
B11,0.07720000297,64625.7,36.9,infinite,blank,0
B11,0.07689999789,64920.8,37.4,infinite,blank,0
B11,0.07710000128,65215.9,37.4,infinite,blank,0
B11,0.07689999789,65510.9,37.1,infinite,blank,0
B11,0.07710000128,65806.0,37.6,infinite,blank,0
B11,0.07699999957999999,66101.1,37.0,infinite,blank,0
B11,0.07710000128,66396.2,37.6,infinite,blank,0
B11,0.07710000128,66691.3,37.1,infinite,blank,0
B11,0.07720000297,66986.4,37.6,infinite,blank,0
B11,0.07710000128,67281.5,36.9,infinite,blank,0
B11,0.07699999957999999,6491.7,37.6,infinite,blank,0
B11,0.07689999789,67576.6,37.6,infinite,blank,0
B11,0.07689999789,67871.7,36.9,infinite,blank,0
B11,0.07699999957999999,68166.8,37.6,infinite,blank,0
B11,0.07720000297,68461.9,36.9,infinite,blank,0
B11,0.07710000128,68757.0,37.6,infinite,blank,0
B11,0.07699999957999999,69052.1,36.9,infinite,blank,0
B11,0.07729999721,69347.2,37.6,infinite,blank,0
B11,0.07689999789,69642.2,37.0,infinite,blank,0
B11,0.07729999721,69937.3,37.5,infinite,blank,0
B11,0.07680000365,70232.4,37.1,infinite,blank,0
B11,0.07710000128,6786.8,37.0,infinite,blank,0
B11,0.07720000297,70527.5,37.3,infinite,blank,0
B11,0.07710000128,70822.6,37.6,infinite,blank,0
B11,0.0773999989,71117.7,37.2,infinite,blank,0
B11,0.07689999789,71412.8,37.6,infinite,blank,0
B11,0.07710000128,71707.9,36.9,infinite,blank,0
B11,0.07699999957999999,72003.0,37.5,infinite,blank,0
B11,0.07729999721,72298.1,37.2,infinite,blank,0
B11,0.07760000229,72593.2,37.4,infinite,blank,0
B11,0.07729999721,72888.3,37.2,infinite,blank,0
B11,0.07710000128,73183.3,37.5,infinite,blank,0
B11,0.07710000128,7081.9,37.3,infinite,blank,0
B11,0.07710000128,73478.4,37.1,infinite,blank,0
B11,0.07689999789,73773.5,37.4,infinite,blank,0
B11,0.07699999957999999,74068.6,37.3,infinite,blank,0
B11,0.07689999789,74363.7,37.4,infinite,blank,0
B11,0.07710000128,74658.8,37.5,infinite,blank,0
B11,0.07699999957999999,74953.9,37.0,infinite,blank,0
B11,0.07720000297,75249.0,37.6,infinite,blank,0
B11,0.07689999789,75544.1,37.3,infinite,blank,0
B11,0.07720000297,75839.2,37.4,infinite,blank,0
B11,0.07689999789,76134.3,37.6,infinite,blank,0
B11,0.07720000297,7377.0,37.6,infinite,blank,0
B11,0.07729999721,76429.3,37.2,infinite,blank,0
B11,0.07710000128,76724.4,37.5,infinite,blank,0
B11,0.07720000297,77019.5,37.1,infinite,blank,0
B11,0.07710000128,77314.6,37.5,infinite,blank,0
B11,0.07720000297,77609.7,37.5,infinite,blank,0
B11,0.0773999989,77904.8,37.1,infinite,blank,0
B11,0.07720000297,78199.9,37.6,infinite,blank,0
B11,0.07710000128,78495.0,36.9,infinite,blank,0
B11,0.07729999721,78790.1,37.6,infinite,blank,0
B11,0.07710000128,79085.1,37.4,infinite,blank,0
B11,0.07729999721,7672.0,36.9,infinite,blank,0
B11,0.0773999989,79380.2,37.1,infinite,blank,0
B11,0.07710000128,79675.3,37.6,infinite,blank,0
