well,od_600nm,time_s,temp_C,instrument,media,strain,replicate
B10,0.07829999924,36241.1,37.6,infinite,water,blank,0
B10,0.07829999924,36643.8,37.2,infinite,water,blank,0
B10,0.07789999992,37046.4,36.9,infinite,water,blank,0
B10,0.07880000025,37449.1,37.3,infinite,water,blank,0
B10,0.07840000092999999,37851.8,37.5,infinite,water,blank,0
B10,0.0781000033,38254.5,37.2,infinite,water,blank,0
B10,0.07900000364,38657.1,37.3,infinite,water,blank,0
B10,0.07769999653,39059.8,37.6,infinite,water,blank,0
B10,0.07859999686000001,39462.5,37.2,infinite,water,blank,0
B11,0.0775000006,0.0,36.5,infinite,water,blank,0
B11,0.0781000033,3623.8,37.2,infinite,water,blank,0
B11,0.0775000006,39865.2,37.4,infinite,water,blank,0
B11,0.07819999754,40267.9,37.3,infinite,water,blank,0
B11,0.07769999653,40670.6,36.9,infinite,water,blank,0
B11,0.07890000194,41073.2,37.5,infinite,water,blank,0
B11,0.07880000025,41475.9,37.5,infinite,water,blank,0
B11,0.07829999924,41878.6,37.0,infinite,water,blank,0
B11,0.07789999992,42281.3,37.5,infinite,water,blank,0
B11,0.07769999653,42684.0,37.4,infinite,water,blank,0
B11,0.07819999754,43086.6,37.1,infinite,water,blank,0
B11,0.07800000161000001,43489.3,37.5,infinite,water,blank,0
B11,0.07819999754,4026.5,37.2,infinite,water,blank,0
B11,0.07819999754,43892.0,37.1,infinite,water,blank,0
B11,0.07829999924,44294.7,37.3,infinite,water,blank,0
B11,0.07869999856000001,44697.4,37.6,infinite,water,blank,0
B11,0.07760000229,45100.0,37.1,infinite,water,blank,0
B11,0.07840000092999999,45502.7,37.1,infinite,water,blank,0
B11,0.0781000033,45905.4,37.6,infinite,water,blank,0
B11,0.07859999686000001,46308.1,37.1,infinite,water,blank,0
B11,0.07900000364,46710.8,37.4,infinite,water,blank,0
B11,0.07829999924,47113.5,37.5,infinite,water,blank,0
B11,0.07800000161000001,47516.1,36.9,infinite,water,blank,0
B11,0.07789999992,4429.1,37.4,infinite,water,blank,0
B11,0.07880000025,47918.8,37.6,infinite,water,blank,0
B11,0.07909999788,48321.5,37.0,infinite,water,blank,0
B11,0.07880000025,48724.2,37.4,infinite,water,blank,0
B11,0.07859999686000001,49126.8,37.0,infinite,water,blank,0
B11,0.07829999924,49529.5,37.6,infinite,water,blank,0
B11,0.07840000092999999,49932.2,37.0,infinite,water,blank,0
B11,0.07840000092999999,50334.9,37.5,infinite,water,blank,0
B11,0.07819999754,50737.6,37.0,infinite,water,blank,0
B11,0.07859999686000001,51140.3,37.3,infinite,water,blank,0
B11,0.07880000025,51542.9,37.5,infinite,water,blank,0
B11,0.0781000033,4831.8,37.6,infinite,water,blank,0
B11,0.07880000025,51945.6,37.0,infinite,water,blank,0
B11,0.07819999754,52348.3,37.6,infinite,water,blank,0
B11,0.07900000364,52751.0,37.0,infinite,water,blank,0
B11,0.0781000033,53153.7,37.6,infinite,water,blank,0
B11,0.07819999754,53556.4,37.0,infinite,water,blank,0
B11,0.07829999924,53959.0,37.6,infinite,water,blank,0
B11,0.07840000092999999,54361.7,37.0,infinite,water,blank,0
B11,0.07829999924,54764.4,37.6,infinite,water,blank,0
B11,0.0775000006,55167.1,37.1,infinite,water,blank,0
B11,0.07859999686000001,55569.8,37.6,infinite,water,blank,0
B11,0.07850000262,5234.5,37.6,infinite,water,blank,0
B11,0.07779999822,55972.4,37.0,infinite,water,blank,0
B11,0.0781000033,56375.1,37.6,infinite,water,blank,0
B11,0.07819999754,56777.8,37.0,infinite,water,blank,0
B11,0.07800000161000001,57180.5,37.6,infinite,water,blank,0
B11,0.07850000262,57583.2,37.0,infinite,water,blank,0
B11,0.07789999992,57985.9,37.4,infinite,water,blank,0
B11,0.07720000297,58388.5,37.3,infinite,water,blank,0
B11,0.07850000262,5637.2,37.3,infinite,water,blank,0
B11,0.07859999686000001,6039.9,37.0,infinite,water,blank,0
B11,0.0775000006,6442.6,37.3,infinite,water,blank,0
B11,0.07900000364,6845.2,37.6,infinite,water,blank,0
B11,0.07869999856000001,7247.9,37.6,infinite,water,blank,0
B11,0.0781000033,402.3,37.2,infinite,water,blank,0
B11,0.07760000229,7650.6,36.9,infinite,water,blank,0
B11,0.0773999989,8053.3,37.5,infinite,water,blank,0
B11,0.07829999924,8456.0,37.6,infinite,water,blank,0
B11,0.07900000364,8858.6,36.9,infinite,water,blank,0
B11,0.07760000229,9261.3,37.5,infinite,water,blank,0
B11,0.07819999754,9664.0,37.1,infinite,water,blank,0
B11,0.07800000161000001,10066.7,37.3,infinite,water,blank,0
B11,0.07800000161000001,10469.3,37.3,infinite,water,blank,0
B11,0.07859999686000001,10872.0,37.2,infinite,water,blank,0
B11,0.07840000092999999,11274.7,37.4,infinite,water,blank,0
B11,0.07789999992,805.0,37.3,infinite,water,blank,0
B11,0.07850000262,11677.4,37.1,infinite,water,blank,0
B11,0.07760000229,12080.1,37.7,infinite,water,blank,0
B11,0.0775000006,12482.8,37.1,infinite,water,blank,0
B11,0.0781000033,12885.4,37.6,infinite,water,blank,0
B11,0.07829999924,13288.1,37.1,infinite,water,blank,0
B11,0.07800000161000001,13690.8,37.7,infinite,water,blank,0
B11,0.07779999822,14093.5,37.3,infinite,water,blank,0
B11,0.07819999754,14496.2,37.4,infinite,water,blank,0
B11,0.0781000033,14898.9,36.9,infinite,water,blank,0
B11,0.07800000161000001,15301.5,37.6,infinite,water,blank,0
B11,0.07850000262,1207.7,37.0,infinite,water,blank,0
B11,0.0775000006,15704.2,37.0,infinite,water,blank,0
B11,0.0781000033,16106.9,37.5,infinite,water,blank,0
B11,0.07900000364,16509.6,37.2,infinite,water,blank,0
B11,0.07850000262,16912.3,37.6,infinite,water,blank,0
B11,0.07710000128,17314.9,37.1,infinite,water,blank,0
B11,0.0781000033,17717.6,37.6,infinite,water,blank,0
B11,0.07909999788,18120.3,37.2,infinite,water,blank,0
B11,0.07819999754,18523.0,37.6,infinite,water,blank,0
B11,0.07850000262,18925.7,37.2,infinite,water,blank,0
B11,0.07789999992,19328.3,37.5,infinite,water,blank,0
B11,0.07829999924,1610.4,37.2,infinite,water,blank,0
B11,0.07840000092999999,19731.0,37.1,infinite,water,blank,0
B11,0.07890000194,20133.7,37.5,infinite,water,blank,0
B11,0.07800000161000001,20536.4,37.3,infinite,water,blank,0
B11,0.07940000296000001,20939.1,37.3,infinite,water,blank,0
B11,0.07819999754,21341.7,37.5,infinite,water,blank,0
B11,0.07840000092999999,21744.4,37.4,infinite,water,blank,0
B11,0.07779999822,22147.1,37.3,infinite,water,blank,0
B11,0.07789999992,22549.8,37.6,infinite,water,blank,0
B11,0.07859999686000001,22952.5,37.2,infinite,water,blank,0
B11,0.07819999754,23355.1,37.6,infinite,water,blank,0
B11,0.0781000033,2013.1,37.0,infinite,water,blank,0
B11,0.0775000006,23758.0,37.0,infinite,water,blank,0
B11,0.07859999686000001,24160.7,37.6,infinite,water,blank,0
B11,0.07819999754,24563.3,37.2,infinite,water,blank,0
B11,0.0781000033,24966.0,37.5,infinite,water,blank,0
B11,0.07800000161000001,25368.7,37.1,infinite,water,blank,0
B11,0.07840000092999999,25771.4,37.6,infinite,water,blank,0
B11,0.07909999788,26174.1,36.9,infinite,water,blank,0
B11,0.07800000161000001,26576.7,37.6,infinite,water,blank,0
B11,0.07869999856000001,26979.4,36.9,infinite,water,blank,0
B11,0.07850000262,27382.1,37.6,infinite,water,blank,0
B11,0.07880000025,2415.7,37.5,infinite,water,blank,0
B11,0.0781000033,27784.8,36.9,infinite,water,blank,0
B11,0.07769999653,28187.5,37.6,infinite,water,blank,0
B11,0.07710000128,28590.1,37.0,infinite,water,blank,0
B11,0.07840000092999999,28992.8,37.6,infinite,water,blank,0
B11,0.07829999924,29395.5,37.1,infinite,water,blank,0
B11,0.07859999686000001,29798.2,37.4,infinite,water,blank,0
B11,0.07829999924,30200.9,37.2,infinite,water,blank,0
B11,0.07789999992,30603.5,37.4,infinite,water,blank,0
B11,0.07859999686000001,31006.2,37.5,infinite,water,blank,0
B11,0.0781000033,31408.9,36.9,infinite,water,blank,0
B11,0.07850000262,2818.4,37.3,infinite,water,blank,0
B11,0.07779999822,31811.6,37.4,infinite,water,blank,0
B11,0.07779999822,32214.3,37.5,infinite,water,blank,0
B11,0.0781000033,32616.9,36.9,infinite,water,blank,0
B11,0.07779999822,33019.6,37.5,infinite,water,blank,0
B11,0.07800000161000001,33422.3,37.6,infinite,water,blank,0
B11,0.07819999754,33825.0,37.0,infinite,water,blank,0
B11,0.07819999754,34227.7,37.2,infinite,water,blank,0
B11,0.07890000194,34630.4,37.6,infinite,water,blank,0
B11,0.07859999686000001,35033.0,37.4,infinite,water,blank,0
B11,0.07829999924,35435.7,37.0,infinite,water,blank,0
B11,0.07890000194,3221.1,37.2,infinite,water,blank,0
B11,0.0781000033,35838.4,37.4,infinite,water,blank,0
B11,0.07859999686000001,36241.1,37.6,infinite,water,blank,0
B11,0.07859999686000001,36643.8,37.2,infinite,water,blank,0
B11,0.07919999957,37046.4,36.9,infinite,water,blank,0
B11,0.07819999754,37449.1,37.3,infinite,water,blank,0
B11,0.07819999754,37851.8,37.5,infinite,water,blank,0
B11,0.0775000006,38254.5,37.2,infinite,water,blank,0
B11,0.07800000161000001,38657.1,37.3,infinite,water,blank,0
B11,0.07819999754,39059.8,37.6,infinite,water,blank,0
B11,0.07819999754,39462.5,37.2,infinite,water,blank,0
B2,0.07689999789,0.0,36.5,infinite,water,blank,0
B2,0.07680000365,3623.8,37.2,infinite,water,blank,0
B2,0.07710000128,39865.2,37.4,infinite,water,blank,0
B2,0.07710000128,40267.9,37.3,infinite,water,blank,0
B2,0.07710000128,40670.6,36.9,infinite,water,blank,0
B2,0.07699999957999999,41073.2,37.5,infinite,water,blank,0
B2,0.07699999957999999,41475.9,37.5,infinite,water,blank,0
B2,0.07710000128,41878.6,37.0,infinite,water,blank,0
B2,0.07689999789,42281.3,37.5,infinite,water,blank,0
B2,0.07689999789,42684.0,37.4,infinite,water,blank,0
B2,0.07689999789,43086.6,37.1,infinite,water,blank,0
B2,0.07689999789,43489.3,37.5,infinite,water,blank,0
B2,0.07710000128,4026.5,37.2,infinite,water,blank,0
B2,0.07699999957999999,43892.0,37.1,infinite,water,blank,0
B2,0.07689999789,44294.7,37.3,infinite,water,blank,0
B2,0.07699999957999999,44697.4,37.6,infinite,water,blank,0
B2,0.07680000365,45100.0,37.1,infinite,water,blank,0
B2,0.07689999789,45502.7,37.1,infinite,water,blank,0
B2,0.07689999789,45905.4,37.6,infinite,water,blank,0
B2,0.07710000128,46308.1,37.1,infinite,water,blank,0
B2,0.07689999789,46710.8,37.4,infinite,water,blank,0
B2,0.07699999957999999,47113.5,37.5,infinite,water,blank,0
B2,0.07670000196,47516.1,36.9,infinite,water,blank,0
B2,0.07689999789,4429.1,37.4,infinite,water,blank,0
B2,0.07689999789,47918.8,37.6,infinite,water,blank,0
B2,0.07689999789,48321.5,37.0,infinite,water,blank,0
B2,0.07699999957999999,48724.2,37.4,infinite,water,blank,0
B2,0.07699999957999999,49126.8,37.0,infinite,water,blank,0
B2,0.07720000297,49529.5,37.6,infinite,water,blank,0
B2,0.07710000128,49932.2,37.0,infinite,water,blank,0
B2,0.07710000128,50334.9,37.5,infinite,water,blank,0
B2,0.07710000128,50737.6,37.0,infinite,water,blank,0
B2,0.07710000128,51140.3,37.3,infinite,water,blank,0
B2,0.07699999957999999,51542.9,37.5,infinite,water,blank,0
B2,0.07670000196,4831.8,37.6,infinite,water,blank,0
B2,0.07710000128,51945.6,37.0,infinite,water,blank,0
B2,0.07710000128,52348.3,37.6,infinite,water,blank,0
B2,0.07699999957999999,52751.0,37.0,infinite,water,blank,0
B2,0.07710000128,53153.7,37.6,infinite,water,blank,0
B2,0.07699999957999999,53556.4,37.0,infinite,water,blank,0
B2,0.07710000128,53959.0,37.6,infinite,water,blank,0
B2,0.07699999957999999,54361.7,37.0,infinite,water,blank,0
B2,0.07710000128,54764.4,37.6,infinite,water,blank,0
B2,0.07699999957999999,55167.1,37.1,infinite,water,blank,0
B2,0.07699999957999999,55569.8,37.6,infinite,water,blank,0
B2,0.07689999789,5234.5,37.6,infinite,water,blank,0
B2,0.07699999957999999,55972.4,37.0,infinite,water,blank,0
B2,0.07689999789,56375.1,37.6,infinite,water,blank,0
B2,0.07689999789,56777.8,37.0,infinite,water,blank,0
B2,0.07699999957999999,57180.5,37.6,infinite,water,blank,0
B2,0.07699999957999999,57583.2,37.0,infinite,water,blank,0
B2,0.07699999957999999,57985.9,37.4,infinite,water,blank,0
B2,0.07699999957999999,58388.5,37.3,infinite,water,blank,0
B2,0.07720000297,5637.2,37.3,infinite,water,blank,0
B2,0.07710000128,6039.9,37.0,infinite,water,blank,0
B2,0.07689999789,6442.6,37.3,infinite,water,blank,0
B2,0.07689999789,6845.2,37.6,infinite,water,blank,0
B2,0.07680000365,7247.9,37.6,infinite,water,blank,0
B2,0.07689999789,402.3,37.2,infinite,water,blank,0
B2,0.07689999789,7650.6,36.9,infinite,water,blank,0
B2,0.07670000196,8053.3,37.5,infinite,water,blank,0
B2,0.07689999789,8456.0,37.6,infinite,water,blank,0
B2,0.07670000196,8858.6,36.9,infinite,water,blank,0
B2,0.07689999789,9261.3,37.5,infinite,water,blank,0
B2,0.07670000196,9664.0,37.1,infinite,water,blank,0
B2,0.07689999789,10066.7,37.3,infinite,water,blank,0
B2,0.07689999789,10469.3,37.3,infinite,water,blank,0
B2,0.07710000128,10872.0,37.2,infinite,water,blank,0
B2,0.07720000297,11274.7,37.4,infinite,water,blank,0
B2,0.07699999957999999,805.0,37.3,infinite,water,blank,0
B2,0.07670000196,11677.4,37.1,infinite,water,blank,0
B2,0.07689999789,12080.1,37.7,infinite,water,blank,0
B2,0.07710000128,12482.8,37.1,infinite,water,blank,0
B2,0.07699999957999999,12885.4,37.6,infinite,water,blank,0
B2,0.07699999957999999,13288.1,37.1,infinite,water,blank,0
B2,0.07689999789,13690.8,37.7,infinite,water,blank,0
B2,0.07680000365,14093.5,37.3,infinite,water,blank,0
B2,0.07710000128,14496.2,37.4,infinite,water,blank,0
B2,0.07689999789,14898.9,36.9,infinite,water,blank,0
B2,0.07710000128,15301.5,37.6,infinite,water,blank,0
B2,0.07699999957999999,1207.7,37.0,infinite,water,blank,0
B2,0.07699999957999999,15704.2,37.0,infinite,water,blank,0
B2,0.07699999957999999,16106.9,37.5,infinite,water,blank,0
B2,0.07699999957999999,16509.6,37.2,infinite,water,blank,0
B2,0.07699999957999999,16912.3,37.6,infinite,water,blank,0
B2,0.07689999789,17314.9,37.1,infinite,water,blank,0
B2,0.07729999721,17717.6,37.6,infinite,water,blank,0
B2,0.07729999721,18120.3,37.2,infinite,water,blank,0
B2,0.07720000297,18523.0,37.6,infinite,water,blank,0
B2,0.07689999789,18925.7,37.2,infinite,water,blank,0
B2,0.07720000297,19328.3,37.5,infinite,water,blank,0
B2,0.07689999789,1610.4,37.2,infinite,water,blank,0
B2,0.07689999789,19731.0,37.1,infinite,water,blank,0
B2,0.07680000365,20133.7,37.5,infinite,water,blank,0
B2,0.07710000128,20536.4,37.3,infinite,water,blank,0
B2,0.07710000128,20939.1,37.3,infinite,water,blank,0
B2,0.07710000128,21341.7,37.5,infinite,water,blank,0
B2,0.07699999957999999,21744.4,37.4,infinite,water,blank,0
B2,0.07680000365,22147.1,37.3,infinite,water,blank,0
B2,0.07699999957999999,22549.8,37.6,infinite,water,blank,0
B2,0.07699999957999999,22952.5,37.2,infinite,water,blank,0
B2,0.07699999957999999,23355.1,37.6,infinite,water,blank,0
B2,0.07729999721,2013.1,37.0,infinite,water,blank,0
B2,0.07670000196,23758.0,37.0,infinite,water,blank,0
B2,0.07699999957999999,24160.7,37.6,infinite,water,blank,0
B2,0.07689999789,24563.3,37.2,infinite,water,blank,0
B2,0.07680000365,24966.0,37.5,infinite,water,blank,0
B2,0.07710000128,25368.7,37.1,infinite,water,blank,0
B2,0.07710000128,25771.4,37.6,infinite,water,blank,0
